event_type,event_stage,p,target_rel,channels,subject,summary,assessment,image,icon,tags,sound_id,implementation notes
food_shortage,possible,,,player_intel,Возможная нехватка продовольствия на $onOrAt $market,"Анализ разведданных, полученных из перехваченных сообщений и других источников позволяет предположить, что нехватка продовольствия, вероятно возникнет на $onOrAt $market в течение нескольких недель.", Повышение цен на продовольствие и снижение стабильности на $onOrAt $market в случае возникновения дефицита.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,,,player_intel,Есть вероятность $onOrAt $market нехватки продовольствия,"Анализ разведки, приобретенной от перехваченного comms и других источников, предполагает, что нехватка продовольствия почти несомненно произойдет $onOrAt $market в течение нескольких недель.","Увеличенные цены на продовольственные товары и уменьшенный $onOrAt $market стабильности, если дефицит происходит.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,0.5,HOSTILE,hegemony_internal,Есть вероятность $onOrAt $market нехватки продовольствия,"Этот отчет указывает, что нехватка продовольствия почти несомненно произойдет $onOrAt $market и советует модулям в области на том, какие шаги могли быть сделаны, чтобы максимизировать ее воздействие.","Вспомогательный флот, вероятно, чтобы быть посланным из соседней звездообразной системы, перехват его расширит дефицит и далее дестабилизирует $market.

Продажа еды на черном рынке увеличит волнение постдефицита.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,0.5,FRIENDLY,hegemony_internal,Есть вероятность $onOrAt $market нехватки продовольствия,"Этот отчет указывает, что нехватка продовольствия почти несомненно произойдет $onOrAt $market и советует модулям стоять в стороне, чтобы оказать помощь.",Поставка достаточного количества еды к $market быстро уменьшит продолжительность и воздействие дефицита.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,start,,,news,$onOrAt $market нехватки продовольствия,"Отчет обсуждает $onOrAt $market нехватки продовольствия и обеспечивает взвешенную точку зрения, но не точно определяет определенную причину. Наиболее вероятный преступник, кажется, льющаяся каскадом ошибка в ухудшающейся системе логистики.","Увеличенный $onOrAt $market цен на продовольственные товары.

Стабильность уменьшена $stabilityPenalty.

Приблизительно модули $neededFood еды должны были закончить дефицит.
Вспомогательный флот, вероятно, чтобы быть посланным из соседней звездообразной системы.

Увеличенное воздействие репутации от продажи еды. Продажа еды на черном рынке увеличит волнение постдефицита.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,start,0.25,HOSTILE,hegemony_public,Критический $onOrAt $market нехватки продовольствия,"Отчет указывает, что $onOrAt $market нехватки продовольствия необычно серьезен, и обвиняет администрацию $theMarketFaction в ускорении гуманитарного кризиса.","Увеличенный $onOrAt $market цен на продовольственные товары.

Стабильность уменьшена $stabilityPenalty.

Приблизительно модули $neededFood еды должны были закончить дефицит.

Вспомогательный флот, вероятно, чтобы быть посланным из соседней звездообразной системы.

Увеличенное воздействие репутации от продажи еды. Продажа еды на черном рынке увеличит волнение постдефицита.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,start,0.25,SELF,hegemony_public,Предполагаемый $onOrAt $market нехватки продовольствия,"Отчет категорически отрицает любые слухи о $onOrAt $market нехватки продовольствия и поощряет ответственных граждан вносить свой вклад, сообщая, что любой подозревал в распространении вредоносных слухов.","Увеличенный $onOrAt $market цен на продовольственные товары.

Стабильность уменьшена $stabilityPenalty.

Приблизительно модули $neededFood еды должны были закончить дефицит.

Вспомогательный флот, вероятно, чтобы быть посланным из соседней звездообразной системы.

Повышенное влияние на репутацию от продажи продуктов питания. Продажа продуктов питания на черном рынке усилит волнения после дефицита.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,warning_relief,,,player_intel,Нехватка продовольствия на $onOrAt $market организуется помощь на $reliefMarket,"Анализ трафика связи показывает, что на $reliefMarket в $reliefSystem и будет направлен в $market в ближайшее время.","Флот перевозит достаточно продовольствия, чтобы покончить с нехваткой.

Если флот не прибудет, как ожидалось, ситуация на $market еще больше дестабилизируется.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,warning_relief,0.5,HOSTILE,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",Нехватка продовольствия на $onOrAt $market организуется помощь на $reliefMarket,"В докладе указывается, что в $reliefMarket в $reliefSystem организуется спасательный флот, который, вероятно будет готов в течение нескольких недель.","Флот перевозит достаточно продовольствия, чтобы положить конец дефициту.

Если флот не прибудет, как ожидалось, ситуация на $market еще больше дестабилизируется.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,warning_relief,0.5,FRIENDLY,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",Нехватка продовольствия на $onOrAt $market организуется помощь на $reliefMarket,"В докладе указывается, что в $reliefMarket в $reliefSystem организуется спасательный флот, который, вероятно, будет готов в течение нескольких дней. Близлежащим подразделениям рекомендуется обеспечить безопасное прибытие флота в пункт назначения.","Флот перевозит достаточно продовольствия, чтобы положить конец дефициту.

Если флот не прибудет, как ожидалось, ситуация на $market еще больше дестабилизируется.",,graphics/icons/markets/food_shortage.png,,,
