id,trigger,conditions,script,text,options,notes
# default entity interaction,,,,,,
defaultOpenDialog,OpenInteractionDialog,,"ShowDefaultVisual
PrintDescription 3
SetShortcut defaultLeave ""ESCAPE""",,defaultLeave:Покинуть,
defaultLeave,DialogOptionSelected,$option == defaultLeave,DismissDialog,,,
# warning beacons,,,,,,
beaconOpenDialog,OpenInteractionDialog,$tag:warning_beacon,"ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Внезапно по всем официальным каналам связи начало передаваться сообщение с автономного предупреждающего маяка. Какое бы сообщение он ни намеревался передать, оно было повреждено.",beaconLeave:Покинуть,
beaconOpenDialogRemnantsDestroyed,OpenInteractionDialog,"$tag:warning_beacon
$remnantDestroyed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Это автономный маяк предает зацикленное сообщение.

""ОПАСНОСТЬ: В этой системе могут находиться активные системы защиты. Доступ в эту системе посторонним лицам запрещен указом Гегемонии № 224.34.""",beaconLeave:Покинуть,
beaconOpenDialogRemnantsSuppressed,OpenInteractionDialog,"$tag:warning_beacon
$remnantSuppressed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Это автономный маяк предает зацикленное сообщение.

""ОПАСНОСТЬ: В этой системе могут находиться активные системы защиты. Доступ в эту системе посторонним лицам запрещен указом Гегемонии № 224.34.""",beaconLeave:Покинуть,
beaconOpenDialogRemnantsResurgent,OpenInteractionDialog,"$tag:warning_beacon
$remnantResurgent","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Это автономный маяк предает зацикленное сообщение.

""ОПАСНОСТЬ: В этой системе могут находиться активные системы защиты. Доступ в эту системе посторонним лицам запрещен указом Гегемонии № 224.34.""",beaconLeave:Покинуть,
beaconOpenDialogDaedaleon,OpenInteractionDialog,"$tag:warning_beacon
$daedaleon","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Это автономный маяк предает зацикленное сообщение.

""Этот мир развращен технологическим грехом, и его мерзость является свидетельством того, что он сбивается с пути добродетели. Нарушение границ запрещено. Любой, кто пренебрежет этим предупреждением, будет отречен и объявлен вне закона святым орденом рыцарей Лудда.""",beaconLeave:Покинуть,
beaconLeave,DialogOptionSelected,$option == beaconLeave,DismissDialog,,,
,,,,,,
# gate interactions,,,,,,"# we can treat $global.gatesActive as ""has working Janus device"" -dgb"
gateOpenDialog,OpenInteractionDialog,$tag:gate,"ShowDefaultVisual
FireAll PopulateGateOptions","Безмолвное кольцо из адамантия, оставшееся от прежней эпохи.

Ворота инертны.",,
gateOpenDialogActive,OpenInteractionDialog,"$tag:gate
$global.gatesActive
$gateScanned
$global.playerCanUseGates","ShowDefaultVisual
FireAll PopulateGateOptions","Перед вами огромное и могущественное адамантиевое кольцо, оставшееся от прежней эпохи.

Вы просканировали эти Врата и обнаружили ритм сердца тайного существа, скрытого в гиперпространстве. Использование устройства Janus для создания моста к другим воротам требует огромного количества топлива. Чем дальше цель, тем больше топлива требуется.

Устройство Janus работает, передавая огромное количество специфически поэтапной энергии через поле гиперпривода ведущего корабля для стабилизации прямого соединения между воротами.",,
gateOpenDialogActiveCanNotUse,OpenInteractionDialog,"$tag:gate
$global.gatesActive
$gateScanned
!$global.playerCanUseGates","ShowDefaultVisual
FireAll PopulateGateOptions","Перед вами огромное и могущественное адамантиевое кольцо, оставшееся от прежней эпохи.

Вы просканировали эти Врата и обнаружили ритм сердца тайного существа, скрытого в гиперпространстве. Использование устройства Janus для создания моста к другим воротам требует огромного количества топлива. Чем дальше цель, тем больше топлива требуется.

Вы должны интегрировать устройство Janus в свой флот, чтобы использовать Ворота.",,
gateOpenDialogCanScan1,OpenInteractionDialog,"$tag:gate
$global.canScanGates
!$global.gatesActive
!$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","Безмолвное кольцо из адамантия, оставшееся от прежней эпохи.

Ваш сенсорный офицер кивает, в ответ на ваш сигнал. Командный интерфейс загорается 'ВЫПОЛНИТЬ СКАНИРОВАНИЕ' выжидательно мигает. Ворота ждут, холодные, как гробница.",,
